Group;Key;Text;codeEL;codeNT;codePython;codePRT
Day Of Month;DayMore5;Day of Month > 5;dayOfMonth(date) > 5;Time[0].Day > 5;data[stocks[0]].datetime.day > 5;day > 5
Day Of Month;DayMore10;Day of Month > 10;dayOfMonth(date) > 10;Time[0].Day > 10;data[stocks[0]].datetime.day > 10;day > 10
Day Of Month;DayMore20;Day of Month > 20;dayOfMonth(date) > 20;Time[0].Day > 20;data[stocks[0]].datetime.day > 20;day > 20
Day Of Month;DayLess5;Day of Month <= 5;dayOfMonth(date) <= 5;Time[0].Day <= 5;data[stocks[0]].datetime.day <= 5;day <= 5
Day Of Month;DayLess10;Day of Month <= 10;dayOfMonth(date) <= 10;Time[0].Day <= 10;data[stocks[0]].datetime.day <= 10;day <= 10
Day Of Month;DayLess20;Day of Month <= 20;dayOfMonth(date) <= 20;Time[0].Day <= 20;data[stocks[0]].datetime.day <= 20;day <= 20
Odd/Even Day;OddDay;Odd Day;OddDay = 1;Time[0].Day % 2 != 0;data[stocks[0]].datetime.day % 2 != 0;day MOD 2 <> 0
Odd/Even Day;EvenDay;Even Day;EvenDay = 1;Time[0].Day %2 == 0;data[stocks[0]].datetime.day % 2 == 0;day MOD 2 = 0
Month and Quarter;Jan;January;month(date) = 1;Time[0].Month == 1;get_datetime().month == 1;month = 1
Month and Quarter;Feb;February;month(date) = 2;Time[0].Month == 2;get_datetime().month == 2;month = 2
Month and Quarter;Mar;March;month(date) = 3;Time[0].Month == 3;get_datetime().month == 3;month = 3
Month and Quarter;Apr;April;month(date) = 4;Time[0].Month == 4;get_datetime().month == 4;month = 4
Month and Quarter;May;May;month(date) = 5;Time[0].Month == 5;get_datetime().month == 5;month = 5
Month and Quarter;Jun;June;month(date) = 6;Time[0].Month == 6;get_datetime().month == 6;month = 6
Month and Quarter;Jul;July;month(date) = 7;Time[0].Month == 7;get_datetime().month == 7;month = 7
Month and Quarter;Aug;August;month(date) = 8;Time[0].Month == 8;get_datetime().month == 8;month = 8
Month and Quarter;Sep;September;month(date) = 9;Time[0].Month == 9;get_datetime().month == 9;month = 9
Month and Quarter;Oct;October;month(date) = 10;Time[0].Month == 10;get_datetime().month == 10;month = 10
Month and Quarter;Nov;November;month(date) = 11;Time[0].Month == 11;get_datetime().month == 11;month = 11
Month and Quarter;Dec;December;month(date) = 12;Time[0].Month == 12;get_datetime().month == 12;month = 12
Month and Quarter;NotJan;Not January;month(date) <> 1;Time[0].Month != 1;get_datetime().month != 1;month <> 1
Month and Quarter;NotFeb;Not February;month(date) <> 2;Time[0].Month != 2;get_datetime().month != 2;month <> 2
Month and Quarter;NotMar;Not March;month(date) <> 3;Time[0].Month != 3;get_datetime().month != 3;month <> 3
Month and Quarter;NotApr;Not April;month(date) <> 4;Time[0].Month != 4;get_datetime().month != 4;month <> 4
Month and Quarter;NotMay;Not May;month(date) <> 5;Time[0].Month != 5;get_datetime().month != 5;month <> 5
